hash,ad_id,media_type,ending,filepath
3c8baf36d956800686b6641c049a56dc,adid_287439954116779,img,png,data/media/waiting_room/287439954116779.png
3c8baf36d956800686b6641c049a56dc,adid_356325600610111,img,png,data/media/waiting_room/356325600610111.png
3c8baf36d956800686b6641c049a56dc,adid_353480514165482,img,png,data/media/waiting_room/353480514165482.png
3c8baf36d956800686b6641c049a56dc,adid_365595599575862,img,png,data/media/waiting_room/365595599575862.png
3c8baf36d956800686b6641c049a56dc,adid_359932343493870,img,png,data/media/waiting_room/359932343493870.png
3c8baf36d956800686b6641c049a56dc,adid_920392639442604,img,png,data/media/waiting_room/920392639442604.png
99eb179020779e62837113acb1d66466,adid_705129398440234,vid,mp4,data/media/waiting_room/705129398440234.mp4
607b8c2448cad58a152c484854ec5eae,adid_931626165337866,img,jpg,data/media/waiting_room/931626165337866.jpg
